Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUSTRALIA,Total,Thousands,4932.0,4855.0,4841.0,4745.0,5213.0,5498.0,5532.0,5644.0,5585.0,5490.099999999999,5789.900000000001,5771.1,6032.200000000001,6481.7,6922.000000000001,7449.3,8268.9,8815.4,9245.800000000001,9465.900000000001,1827.7000000000003,246.29999999999998,3694.4
AUSTRALIA,Africa,Thousands,79.0,73.0,68.0,70.0,68.0,71.0,78.0,85.0,93.0,81.7,86.6,89.1,82.4,81.1,84.3,84.7,87.0,89.6,95.1,94.9,18.2,1.8,54.8
AUSTRALIA,Americas,Thousands,621.0,577.0,556.0,537.0,561.0,584.0,611.0,629.0,644.0,671.0,661.0,645.0,682.8,750.8,806.0,869.5,994.1,1095.8,1139.1,1173.3,282.5,21.9,504.1
AUSTRALIA,East Asia and the Pacific,Thousands,2912.0,2893.0,2924.0,2812.0,3205.0,3375.0,3315.0,3387.0,3244.0,3120.2,3404.0,3447.2,3649.5,3892.6,4204.1,4585.1,5155.7,5487.0,5751.9,5898.1,954.0,153.5,1827.6
AUSTRALIA,Europe,Thousands,1212.0,1197.0,1198.0,1228.0,1261.0,1330.0,1368.0,1355.0,1381.0,1401.4,1389.8,1335.5,1345.9,1457.0,1488.9,1520.5,1596.2,1644.0,1689.8,1678.8,442.1,44.7,848.9
AUSTRALIA,Middle East,Thousands,35.0,35.0,31.0,34.0,43.0,49.0,52.0,63.0,75.0,64.6,70.3,62.3,63.0,71.0,77.7,80.9,84.8,88.2,85.2,83.2,17.0,4.9,44.4
AUSTRALIA,South Asia,Thousands,60.0,66.0,61.0,63.0,75.0,89.0,108.0,125.0,148.0,151.2,178.2,192.0,208.6,229.2,261.0,308.6,351.1,410.8,484.7,537.6,113.9,19.5,414.6
AUSTRALIA,Other not classified,Thousands,13.0,14.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
AUSTRALIA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,Total,Thousands,17982.0,18180.0,18611.0,19078.0,19374.0,19952.0,20269.0,20772.0,21935.0,21355.0,22004.0,23012.0,24151.0,24812.800000000003,25291.4,26727.600000000002,28120.7,29460.3,30815.800000000003,31883.7,15090.8,12728.399999999998,26214.500000000004
AUSTRIA,Africa,Thousands,36.0,36.0,26.0,27.0,32.0,42.0,43.0,40.0,40.0,39.0,45.0,52.0,58.0,61.0,63.0,72.4,77.8,77.3,82.2,80.4,20.6,16.6,57.0
