Country,Indicators,,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BULGARIA,Travel,,,US$ Millions,1074.0,994.0,1096.0,1621.0,2202.0,2412.0,2612.0,3713.0,4306.0,3776.0,3343.0,3764.0,3462.0,3829.0,3927.0,3139.0,3637.0,4099.0,4468.0,4287.0,1705.8,2477.7,3366.2
BULGARIA,Passenger transport,,,US$ Millions,290.0,268.0,296.0,430.0,594.0,651.0,705.0,468.0,546.0,497.0,464.0,533.0,513.0,581.0,591.0,429.0,511.0,564.0,593.0,545.0,155.6,256.45,335.2
BURKINA FASO,Tourism expenditure in the country,,,US$ Millions,23.0,25.0,37.0,38.0,52.0,46.0,55.0,61.0,82.0,99.0,105.0,116.0,128.0,200.0,183.0,152.0,172.0,172.0,179.0,173.0,128.0,144.8,
BURKINA FASO,Travel,,,US$ Millions,19.0,20.0,25.0,24.0,40.0,45.0,53.0,56.0,62.0,66.0,72.0,75.0,84.0,153.0,135.0,109.0,122.0,117.0,121.0,116.0,75.0,81.6,
BURKINA FASO,Passenger transport,,,US$ Millions,4.0,5.0,12.0,14.0,12.0,1.0,2.0,5.0,20.0,33.0,33.0,41.0,44.0,47.0,48.0,43.0,50.0,55.0,58.0,57.0,53.0,63.2,
BURUNDI,Tourism expenditure in the country,,,US$ Millions,1.4,0.9,1.6,1.2,1.7999999999999998,1.9,1.6,2.3,1.6,1.7,2.1,3.7,,,,,,,,,,,
BURUNDI,Travel,,,US$ Millions,0.8,0.5,1.1,0.7,1.2,1.5,1.3,1.3,1.3,1.5,1.8,2.5,1.5,2.3,4.1,2.2,1.9,3.0,3.9,,,,
BURUNDI,Passenger transport,,,US$ Millions,0.6,0.4,0.5,0.5,0.6,0.4,0.3,1.0,0.3,0.2,0.3,1.2,,,,,,,,,,,
CABO VERDE,Tourism expenditure in the country,,,US$ Millions,64.0,77.0,100.0,135.0,153.0,177.0,280.0,375.0,432.0,349.0,387.0,438.0,452.0,483.0,453.0,380.0,397.0,451.0,520.0,567.2,169.0,144.9,400.2
CABO VERDE,Travel,,,US$ Millions,41.0,54.0,65.0,87.0,99.0,122.0,209.0,304.0,352.0,286.0,278.0,368.0,394.0,422.0,405.0,347.0,365.0,426.0,488.0,502.2,159.0,144.9,400.0
