Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CAMBODIA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,hotel_guests,,Thousands,277.0,221.0,226.0,,190.0,176.0,214.0,262.0,298.0,345.0,388.0,412.0,437.0,462.0,434.0,452.0,484.0,554.0,546.0,460.0,147.0,489.0,
CAMEROON,hotel_overnights,,Thousands,493.0,420.0,458.0,,414.0,355.0,446.0,516.0,546.0,682.0,678.0,795.0,811.0,839.0,833.0,1045.0,1158.0,1204.0,1150.0,1111.0,324.0,1297.0,
CANADA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CANADA,Overnights,,Thousands,119381.0,125022.0,122150.0,107698.0,123426.0,125656.0,123265.0,123862.0,126067.0,114889.0,120102.0,124396.0,129165.0,151078.0,144881.0,147349.0,199678.0,182716.0,188762.0,208216.0,,,
CANADA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CANADA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAYMAN ISLANDS,Guests,,Thousands,,,,,260.0,168.0,267.0,292.0,303.0,272.0,288.0,309.0,322.0,345.0,383.0,385.0,385.0,418.0,463.0,503.0,122.0,17.0,284.0
CAYMAN ISLANDS,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAYMAN ISLANDS,hotel_guests,,Thousands,,,,,190.0,96.0,157.0,167.0,171.0,201.0,212.0,231.0,244.0,258.0,288.0,286.0,291.0,298.0,360.0,403.0,94.0,,
CAYMAN ISLANDS,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL AFRICAN REPUBLIC,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL AFRICAN REPUBLIC,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL AFRICAN REPUBLIC,hotel_guests,,Thousands,13.0,10.0,13.0,13.0,6.0,8.0,11.0,19.0,28.0,17.0,17.0,24.3,24.0,28.0,,,,,,,,,
CENTRAL AFRICAN REPUBLIC,hotel_overnights,,Thousands,38.0,35.0,42.0,42.0,23.0,33.0,42.0,46.0,90.0,52.0,49.0,51.7,55.0,37.0,,,,,,,,,
CHAD,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHAD,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHAD,hotel_guests,,Thousands,43.0,57.0,32.0,21.0,26.0,29.0,16.0,25.0,22.0,31.0,14.0,25.0,30.0,38.0,51.0,69.0,,47.0,63.0,81.0,10.4,31.5,
CHAD,hotel_overnights,,Thousands,107.0,197.0,107.0,60.0,76.0,64.0,42.0,65.0,80.0,63.0,37.0,59.0,70.0,96.0,93.0,85.0,40.0,72.0,78.0,95.0,14.3,44.0,
CHILE,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHILE,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHILE,hotel_guests,,Thousands,937.0,883.0,779.0,850.0,951.0,1397.0,1460.0,1563.0,1564.0,1424.0,1399.0,1691.0,2042.0,2161.0,3151.0,3262.0,3496.0,4386.0,3916.0,3732.0,,,
CHILE,hotel_overnights,,Thousands,2181.0,1912.0,1709.0,1947.0,2086.0,2877.0,3203.0,3605.0,3709.0,3221.0,3193.0,3775.0,4342.0,4553.0,6179.0,6499.0,6909.0,9804.0,8735.0,8025.0,,,
CHINA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHINA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHINA,hotel_guests,,Thousands,,,39142.0,30169.0,43937.0,53258.0,61396.0,73114.0,75007.0,80392.0,96590.0,106552.0,116266.0,89924.0,,,,,,,,,
CHINA,hotel_overnights,,Thousands,78310.0,86765.0,99360.0,80121.0,114231.0,138411.0,163680.0,195080.0,197912.0,215661.0,264123.0,294757.0,330080.0,243761.0,,,,,,,,,
COLOMBIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
