Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BRUNEI DARUSSALAM,"of which, cruise passengers",Thousands,,,,,,4.0,1.0,,,,,,,,,,25.0,11.0,19.0,15.0,1.5,,
BULGARIA,Total arrivals,Thousands,4922.0,5104.0,5563.0,6241.0,6982.0,7282.0,7499.0,7726.0,8533.0,7873.0,8374.0,8713.0,8867.0,9192.0,9409.0,9317.0,10604.0,11596.0,12368.0,12552.0,4973.0,7188.0,10888.0
BULGARIA,Overnights visitors (tourists),Thousands,2785.0,3186.0,3433.0,4048.0,4630.0,4837.0,5158.0,5151.0,5780.0,5739.0,6047.0,6328.0,6541.0,6898.0,7311.0,7099.0,8252.0,8883.0,9273.0,7775.0,1290.0,2300.0,5557.0
BULGARIA,Same-day visitors (excursionists),Thousands,2137.0,1918.0,2130.0,2193.0,2352.0,2445.0,2341.0,2574.0,2753.0,2134.0,2327.0,2385.0,2326.0,2294.0,2098.0,2218.0,2352.0,2713.0,3095.0,4777.0,3683.0,4888.0,5332.0
BULGARIA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURKINA FASO,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURKINA FASO,Overnights visitors (tourists),Thousands,126.0,128.0,150.0,163.0,222.0,245.0,264.0,289.0,272.0,269.0,274.0,238.0,237.0,218.0,191.0,163.0,152.0,143.0,144.0,143.0,67.0,106.0,116.0
BURKINA FASO,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURKINA FASO,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,Overnights visitors (tourists),Thousands,29.0,36.0,74.0,74.0,133.0,148.0,214.0,192.0,202.0,212.0,142.0,144.0,147.0,234.0,235.0,131.0,187.0,299.0,,,,,
BURUNDI,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Overnights visitors (tourists),Thousands,115.0,134.0,126.0,150.0,157.0,198.0,242.0,267.0,285.0,287.0,336.0,428.0,482.0,503.0,494.0,520.0,598.0,668.0,710.0,758.0,180.0,135.0,785.0
CABO VERDE,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,Total arrivals,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,Overnights visitors (tourists),Thousands,466.0,605.0,787.0,701.0,1055.0,1422.0,1700.0,2015.0,2125.0,2162.0,2508.0,2882.0,3584.0,4210.0,4503.0,4775.0,5012.0,5602.0,6201.0,6611.0,1306.0,196.4,2276.6
CAMBODIA,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,Total arrivals,Thousands,,,,,,,451.0,477.0,487.0,498.0,573.0,604.0,817.0,783.0,822.0,897.0,994.0,1081.0,997.0,1021.0,616.0,963.0,539.0
CAMEROON,Overnights visitors (tourists),Thousands,277.0,221.0,226.0,,190.0,176.0,,,480.0,495.0,569.0,600.0,812.0,,,,,,,,,,
CAMEROON,Same-day visitors (excursionists),Thousands,,,,,,,,,7.0,3.0,4.0,4.0,5.0,,,,,,,,,,
CAMEROON,"of which, cruise passengers",Thousands,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
CANADA,Total arrivals,Thousands,48638.0,47147.0,44896.0,38903.0,38845.0,36160.0,33390.0,30373.0,27370.0,24696.0,25621.0,25066.0,25318.0,25167.0,25558.0,27555.0,30142.0,31081.0,31274.0,32430.0,5068.0,4282.1,17924.0
CANADA,Overnights visitors (tourists),Thousands,19627.0,19679.0,20057.0,17534.0,19145.0,18771.0,18265.0,17935.0,17142.0,15737.0,16219.0,16016.0,16344.0,16059.0,16537.0,17977.0,19971.0,20883.0,21134.0,22145.0,2960.0,3062.2,12824.0
