Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BRAZIL,Total,,Thousands,5313.0,4772.0,3785.0,4133.0,4794.0,5358.0,5017.0,5026.0,5050.0,4802.0,5161.0,5433.0,5678.0,5813.0,6430.0,6305.799999999999,6546.7,6588.799999999999,6621.400000000001,6353.1,2146.3999999999996,745.9,3630.0
BRAZIL,Air,,Thousands,2723.0,2960.0,2815.0,3083.0,3569.0,3938.0,3713.0,3747.0,3691.0,3349.0,3610.0,3808.0,3987.0,4066.0,4540.0,4318.4,4368.9,4187.5,4328.1,4288.5,1185.6,585.4,2467.1
BRAZIL,Water,,Thousands,161.0,134.0,79.0,57.0,74.0,106.0,123.0,129.0,110.0,154.0,151.0,182.0,150.0,135.0,130.0,116.8,136.3,149.7,204.8,225.2,123.5,1.6,81.0
BRAZIL,Land,,Thousands,2429.0,1678.0,891.0,993.0,1151.0,1314.0,1181.0,1150.0,1249.0,1299.0,1400.0,1443.0,1541.0,1612.0,1760.0,1870.6,2041.5,2251.6,2088.5,1839.4,837.3,158.9,1081.9
BRITISH VIRGIN ISLANDS,Total,,Thousands,519.0,535.0,544.0,657.0,813.0,821.0,826.0,948.0,934.0,857.0,842.0,831.0,753.0,742.0,772.6,,,,,,,,
BRITISH VIRGIN ISLANDS,Air,,Thousands,136.0,144.0,135.0,153.0,220.0,205.0,165.0,147.0,132.0,105.0,109.0,93.0,86.0,88.0,84.4,,,,,,,,
BRITISH VIRGIN ISLANDS,Water,,Thousands,383.0,391.0,409.0,504.0,593.0,616.0,661.0,801.0,802.0,752.0,733.0,738.0,667.0,654.0,688.2,,,,,,,,
BRITISH VIRGIN ISLANDS,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,Total,,Thousands,,,,,119.0,126.0,158.0,179.0,226.0,157.0,214.0,242.0,209.0,225.0,201.0,218.0,4257.2,4316.0,4521.0,4448.900000000001,1070.6,110.3,
BRUNEI DARUSSALAM,Air,,Thousands,,,,,119.0,126.0,158.0,179.0,226.0,157.0,214.0,242.0,209.0,225.0,201.0,218.0,218.8,259.0,278.0,333.2,62.3,3.5,
BRUNEI DARUSSALAM,Water,,Thousands,,,,,,,,,,,,,,,,,25.1,11.0,19.0,15.1,1.5,,
BRUNEI DARUSSALAM,Land,,Thousands,,,,,,,,,,,,,,,,,4013.3,4046.0,4224.0,4100.6,1006.8,106.8,
BULGARIA,Total,,Thousands,4922.0,5104.0,5563.0,6241.0,6982.0,7282.0,7499.0,7726.0,,,,,,,,,,,,,,,
BULGARIA,Air,,Thousands,776.0,1008.0,1185.0,1409.0,1715.0,2007.0,2203.0,2318.0,,,,,,,,,,,,,,,
BULGARIA,Water,,Thousands,100.0,117.0,104.0,120.0,156.0,178.0,169.0,211.0,,,,,,,,,,,,,,,
BULGARIA,Land,,Thousands,4046.0,3979.0,4274.0,4712.0,5111.0,5097.0,5127.0,5197.0,,,,,,,,,,,,,,,
BURKINA FASO,Total,,Thousands,,,,,,,,,,,,,,108.0,102.0,97.0,95.0,103.0,109.0,133.0,54.0,94.5,112.0
BURKINA FASO,Air,,Thousands,,,,,,,,,,,,,,108.0,102.0,97.0,95.0,103.0,109.0,133.0,54.0,94.5,112.0
BURKINA FASO,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURKINA FASO,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,Total,,Thousands,29.0,36.0,74.0,74.0,133.0,148.0,213.0,192.0,201.0,212.0,142.0,144.0,147.0,234.0,235.0,131.0,187.0,299.0,,,,,
BURUNDI,Air,,Thousands,12.0,14.0,18.0,17.0,39.0,49.0,49.0,44.0,46.0,49.0,33.0,31.0,41.0,92.0,86.0,46.0,74.0,89.0,,,,,
BURUNDI,Water,,Thousands,2.0,3.0,21.0,21.0,46.0,49.0,38.0,35.0,36.0,38.0,25.0,26.0,14.0,21.0,26.0,13.0,15.0,16.0,,,,,
BURUNDI,Land,,Thousands,15.0,19.0,35.0,36.0,48.0,50.0,126.0,113.0,119.0,125.0,84.0,87.0,92.0,121.0,123.0,72.0,98.0,194.0,,,,,
CABO VERDE,Total,,Thousands,83.0,115.0,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Air,,Thousands,83.0,115.0,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,Total,,Thousands,466.0,605.0,787.0,701.0,987.0,1334.0,1592.0,2016.0,2125.0,2162.0,2508.0,2882.0,3584.0,4210.0,4502.5,4775.0,5011.700000000001,5602.1,6201.099999999999,6610.5,1306.1999999999998,196.4,2276.7
CAMBODIA,Air,,Thousands,351.0,408.0,523.0,456.0,626.0,857.0,1027.0,1297.0,1239.0,1112.0,1304.0,1481.0,1722.0,2018.0,2273.5,2476.0,2704.4,3312.7,4096.9,4404.0,756.3,99.8,791.6
CAMBODIA,Water,,Thousands,,,,,25.0,32.0,40.0,44.0,72.0,78.0,78.0,81.0,76.0,75.0,97.0,148.0,153.4,145.4,144.2,156.8,51.5,0.2,17.9
CAMBODIA,Land,,Thousands,115.0,197.0,264.0,245.0,336.0,445.0,525.0,675.0,814.0,972.0,1126.0,1320.0,1786.0,2117.0,2132.0,2151.0,2153.9,2144.0,1960.0,2049.7,498.4,96.4,1467.2
CAMEROON,Total,,Thousands,,,,,,,452.0,477.0,487.0,498.0,573.0,604.0,817.0,783.0,822.0,897.4,994.4000000000001,1081.2,997.0,1021.4,616.1,963.2,539.3
CAMEROON,Air,,Thousands,,,,,,,199.0,217.0,224.0,218.0,267.0,279.0,351.0,269.0,244.0,308.2,400.7,463.8,474.7,489.1,258.3,440.8,238.1
