Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BRITISH VIRGIN ISLANDS,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRITISH VIRGIN ISLANDS,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRITISH VIRGIN ISLANDS,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRITISH VIRGIN ISLANDS,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BULGARIA,Guests,,Thousands,1482.0,1359.0,1482.0,1575.0,1652.0,1894.0,2232.0,2582.0,2799.0,2396.0,2266.0,2528.0,2862.0,3027.0,3154.0,3415.0,3809.0,3806.0,3889.0,4120.0,2847.0,3755.0,4551.0
BULGARIA,Overnights,,Thousands,3384.0,3194.0,3231.0,3379.0,3857.0,4447.0,5467.0,6059.0,6493.0,5816.0,5592.0,6229.0,6801.0,7247.0,7621.0,8046.0,9035.0,8949.0,9096.0,9675.0,7312.0,9627.0,11286.0
BULGARIA,hotel_guests,,Thousands,1321.0,1204.0,1352.0,1431.0,1503.0,1721.0,1921.0,2228.0,2442.0,2100.0,1996.0,2242.0,2450.0,2611.0,2727.0,2938.0,3273.0,3262.0,3317.0,3517.0,2410.0,3242.0,3958.0
BULGARIA,hotel_overnights,,Thousands,3024.0,2842.0,2982.0,3058.0,3423.0,3957.0,4342.0,4867.0,5370.0,4676.0,4548.0,5167.0,5531.0,5927.0,6219.0,6559.0,7455.0,7339.0,7423.0,7890.0,5996.0,8071.0,9560.0
BURKINA FASO,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURKINA FASO,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURKINA FASO,hotel_guests,,Thousands,40.0,56.0,48.0,54.0,68.0,80.0,95.0,85.0,104.0,132.0,153.0,196.0,246.0,289.0,295.0,311.0,337.0,369.0,396.0,426.0,369.0,414.0,415.0
BURKINA FASO,hotel_overnights,,Thousands,73.0,93.0,112.0,119.0,135.0,173.0,204.0,185.0,193.0,224.0,233.0,311.0,376.0,434.0,470.0,452.0,552.0,592.0,616.0,716.0,720.0,734.0,734.0
BURUNDI,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,hotel_guests,,Thousands,30.0,28.0,26.0,28.0,28.0,36.0,39.0,46.0,48.0,43.0,46.0,47.0,52.0,49.0,46.0,50.0,46.0,49.0,56.0,61.0,27.2,34.0,50.7
CABO VERDE,hotel_overnights,,Thousands,82.0,81.0,70.0,83.0,78.0,85.0,107.0,125.0,115.0,124.0,125.0,124.0,150.0,156.0,131.0,137.0,128.0,138.0,176.0,196.0,76.7,89.0,144.0
CAMBODIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,hotel_guests,,Thousands,,,,,886.0,977.0,1162.0,1340.0,1489.0,1680.0,1855.0,1980.0,2115.0,1546.0,1590.0,1612.0,1645.0,1584.0,1596.0,1766.0,1005.0,,
CAMEROON,hotel_overnights,,Thousands,1261.0,1108.0,,,1393.0,1399.0,1615.0,1664.0,1878.0,1750.0,1920.0,2210.0,2850.0,2321.0,2441.0,2310.0,2346.0,2767.0,2857.0,3112.0,1374.0,,
CANADA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CANADA,Overnights,,Thousands,275019.0,244608.0,308046.0,278468.0,284093.0,,260286.0,263110.0,261873.0,265659.0,271869.0,288945.0,297302.0,287115.0,292569.0,306212.0,344706.0,348208.0,266556.0,261787.0,206351.0,237497.0,282597.0
CANADA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CANADA,hotel_overnights,,Thousands,52804.0,48980.0,59217.0,53882.0,55312.0,,44033.0,43047.0,43127.0,42778.0,45115.0,51681.0,53257.0,51235.0,51805.0,53650.0,63379.0,62415.0,,,,,
CAYMAN ISLANDS,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAYMAN ISLANDS,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAYMAN ISLANDS,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAYMAN ISLANDS,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL AFRICAN REPUBLIC,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL AFRICAN REPUBLIC,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL AFRICAN REPUBLIC,hotel_guests,,Thousands,1.0,,,1.0,1.0,,,1.0,3.0,2.0,3.0,3.3,3.8,11.2,12.2,14.7,58.0,68.0,69.0,79.0,52.0,125.0,
CENTRAL AFRICAN REPUBLIC,hotel_overnights,,Thousands,3.0,1.0,3.0,3.0,3.0,,,3.0,9.0,3.0,4.0,7.2,7.8,16.4,17.8,22.0,83.0,83.0,133.0,166.0,123.0,292.0,
CHAD,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHAD,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHAD,hotel_guests,,Thousands,,,,,,,,,1.1,1.1,1.0,1.8,4.5,,,,,,,,4.2,10.7,
CHAD,hotel_overnights,,Thousands,10.0,9.0,5.0,4.0,5.0,4.0,,,5.7,4.7,3.0,5.1,8.5,,,11.0,13.0,9.0,10.0,12.0,5.2,13.0,
CHILE,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHILE,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHILE,hotel_guests,,Thousands,1944.0,1900.0,2124.0,2199.0,2287.0,2888.0,3082.0,3371.0,3531.0,3328.0,3337.0,3978.0,4438.0,4614.0,6116.0,5977.0,6017.0,7943.962008809289,8143.5768600727615,7797.160958956145,,,
CHILE,hotel_overnights,,Thousands,3926.0,3872.0,4308.0,4879.0,4751.0,5799.0,6170.0,6578.0,6900.0,6607.0,6643.0,7725.0,8381.0,8687.0,11350.0,11120.0,11166.0,15325.184925665164,15742.225565658884,15149.615030486315,,,
CHINA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHINA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHINA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CHINA,hotel_overnights,,Thousands,354031.0,201045.0,246325.0,236341.0,296764.0,369000.0,413645.0,435849.0,437213.0,439717.0,,,,,,,,,,,,,
COLOMBIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COMOROS,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COMOROS,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COMOROS,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COMOROS,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CONGO,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CONGO,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CONGO,hotel_guests,,Thousands,16.0,15.0,12.0,10.0,13.0,15.0,17.0,20.0,25.0,46.0,51.0,76.0,80.0,152.0,188.0,150.0,139.0,92.0,112.0,,,,
CONGO,hotel_overnights,,Thousands,54.0,50.0,46.0,31.0,39.0,39.0,45.0,50.0,64.0,99.0,112.0,161.0,222.0,371.0,536.0,696.0,289.0,203.0,258.0,,,,
"CONGO, DEMOCRATIC REPUBLIC OF THE",Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
"CONGO, DEMOCRATIC REPUBLIC OF THE",Overnights,,Thousands,9.0,68.0,67.0,40.0,85.0,156.0,113.0,69.0,105.0,110.0,,,,,,,,,,,,,
"CONGO, DEMOCRATIC REPUBLIC OF THE",hotel_guests,,Thousands,3.0,5.0,5.0,11.0,16.0,13.0,11.0,9.0,12.0,11.0,,,,,,,,,,,,,
"CONGO, DEMOCRATIC REPUBLIC OF THE",hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
COOK ISLANDS,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
