Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BOTSWANA,Total,,Thousands,1104.0,1193.0,1274.0,1406.0,1523.0,1474.0,1426.0,1736.0,2101.0,1721.4,1973.0,,1614.4,1544.1,1966.0,1527.6000000000001,1574.2,1622.6,1654.6999999999998,1454.6,328.5,313.8,
BOTSWANA,Personal,,Thousands,961.0,1095.0,1151.0,1300.0,1443.0,1396.0,1349.0,1618.0,1954.0,1575.7,1785.0,,1465.4,1187.1,1357.0,1037.4,1112.7,1241.2,1282.3,1180.8,259.2,203.10000000000002,
BOTSWANA,Business and professional,,Thousands,143.0,98.0,123.0,106.0,80.0,78.0,77.0,118.0,147.0,145.7,188.0,,149.0,357.0,609.0,490.2,461.5,381.4,372.4,273.8,69.3,110.7,
BRAZIL,Total,,Thousands,5313.0,4773.0,3784.0,4134.0,4794.0,5358.0,5017.0,5026.0,5050.0,4802.0,5162.0,5433.0,5677.0,5813.0,6430.0,6306.0,6546.599999999999,6588.7,6621.4,6353.2,,,
BRAZIL,Personal,,Thousands,3833.0,3330.0,2714.0,3059.0,3418.0,3799.0,3607.0,3649.0,3676.0,3702.0,3959.0,4042.0,4246.0,4290.0,5022.0,5032.0,5322.4,5560.9,5727.5,5374.8,,,
BRAZIL,Business and professional,,Thousands,1480.0,1443.0,1070.0,1075.0,1376.0,1559.0,1410.0,1377.0,1374.0,1100.0,1203.0,1391.0,1431.0,1523.0,1408.0,1274.0,1224.2,1027.8,893.9,978.4,,,
BRITISH VIRGIN ISLANDS,Total,,Thousands,272.0,296.0,282.0,318.0,305.0,,356.0,358.0,345.0,309.0,330.0,338.0,351.0,366.0,,,,,,,,,
BRITISH VIRGIN ISLANDS,Personal,,Thousands,266.0,289.0,276.0,312.0,300.0,,344.0,345.0,329.0,293.0,313.0,317.0,330.0,343.0,,,,,,,,,
BRITISH VIRGIN ISLANDS,Business and professional,,Thousands,6.0,7.0,6.0,6.0,5.0,,12.0,13.0,16.0,16.0,17.0,21.0,21.0,23.0,,,,,,,,,
BRUNEI DARUSSALAM,Total,,Thousands,984.0,840.0,,,,815.0,,178.0,226.0,157.0,214.0,242.0,209.0,225.0,201.0,218.2,218.7,258.9,278.2,333.3,62.3,3.5,
